 NS  KS  AS  CS  KI  AI  CI 
 0.6463E-00009  0.2434E+00003  0.1242E+00004  0.1113E+00003  0.2985E+00003  0.4273E+00001  0.9696E-00004
 0.6007E-00009  0.2274E+00003  0.1199E+00004  0.1093E+00003  0.2814E+00003  0.3954E+00001  0.9678E-00004
 0.5583E-00009  0.2124E+00003  0.1158E+00004  0.1074E+00003  0.2653E+00003  0.3659E+00001  0.9661E-00004
 0.5189E-00009  0.1984E+00003  0.1118E+00004  0.1054E+00003  0.2501E+00003  0.3386E+00001  0.9643E-00004
 0.4823E-00009  0.1854E+00003  0.1079E+00004  0.1035E+00003  0.2357E+00003  0.3133E+00001  0.9626E-00004
 0.4483E-00009  0.1732E+00003  0.1042E+00004  0.1017E+00003  0.2222E+00003  0.2899E+00001  0.9608E-00004
 0.4166E-00009  0.1618E+00003  0.1005E+00004  0.9979E+00002  0.2095E+00003  0.2683E+00001  0.9591E-00004
 0.3872E-00009  0.1512E+00003  0.9706E+00003  0.9795E+00002  0.1975E+00003  0.2482E+00001  0.9574E-00004
 0.3599E-00009  0.1412E+00003  0.9370E+00003  0.9614E+00002  0.1861E+00003  0.2297E+00001  0.9557E-00004
 0.3345E-00009  0.1319E+00003  0.9046E+00003  0.9434E+00002  0.1755E+00003  0.2125E+00001  0.9539E-00004
 0.3109E-00009  0.1232E+00003  0.8733E+00003  0.9257E+00002  0.1654E+00003  0.1967E+00001  0.9522E-00004
 0.2890E-00009  0.1151E+00003  0.8430E+00003  0.9083E+00002  0.1559E+00003  0.1820E+00001  0.9505E-00004
 0.2686E-00009  0.1076E+00003  0.8138E+00003  0.8910E+00002  0.1470E+00003  0.1684E+00001  0.9488E-00004
 0.2496E-00009  0.1005E+00003  0.7856E+00003  0.8741E+00002  0.1385E+00003  0.1558E+00001  0.9471E-00004
 0.2320E-00009  0.9388E+00002  0.7584E+00003  0.8573E+00002  0.1306E+00003  0.1442E+00001  0.9454E-00004
 0.2156E-00009  0.8770E+00002  0.7321E+00003  0.8408E+00002  0.1231E+00003  0.1334E+00001  0.9436E-00004
 0.2004E-00009  0.8193E+00002  0.7067E+00003  0.8246E+00002  0.1160E+00003  0.1235E+00001  0.9419E-00004
 0.1863E-00009  0.7654E+00002  0.6822E+00003  0.8085E+00002  0.1094E+00003  0.1142E+00001  0.9402E-00004
 0.1731E-00009  0.7151E+00002  0.6586E+00003  0.7927E+00002  0.1031E+00003  0.1057E+00001  0.9386E-00004
 0.1609E-00009  0.6680E+00002  0.6358E+00003  0.7772E+00002  0.9720E+00002  0.9781E+00000  0.9369E-00004
 0.1495E-00009  0.6241E+00002  0.6137E+00003  0.7619E+00002  0.9163E+00002  0.9051E+00000  0.9352E-00004
 0.1390E-00009  0.5830E+00002  0.5924E+00003  0.7468E+00002  0.8637E+00002  0.8375E+00000  0.9335E-00004
 0.1292E-00009  0.5447E+00002  0.5719E+00003  0.7320E+00002  0.8142E+00002  0.7749E+00000  0.9318E-00004
 0.1201E-00009  0.5089E+00002  0.5521E+00003  0.7174E+00002  0.7675E+00002  0.7171E+00000  0.9301E-00004
 0.1116E-00009  0.4754E+00002  0.5329E+00003  0.7031E+00002  0.7235E+00002  0.6635E+00000  0.9284E-00004
 0.1037E-00009  0.4441E+00002  0.5144E+00003  0.6889E+00002  0.6820E+00002  0.6140E+00000  0.9268E-00004
 0.9640E-00010  0.4149E+00002  0.4966E+00003  0.6750E+00002  0.6429E+00002  0.5681E+00000  0.9251E-00004
